01.10.2025                                                   Salida dinámica de lista                                                                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Cl.|Aviso    |Fecha     |Descripción                             |Equipo   |Ubicac.técnica  |DurParada|Aut.aviso   |Por     |Orden     |Fin desead|Texto código p. codificación           |
|X  M2 |154706073|20.05.2025|FALLA EN MONITOR TIJERA DE CORTE        |56920    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|APAPHC  |          |21.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154606299|08.04.2025|SE PRENDE PROGRAMA DE CUCHILLAS         |56920    |SA-APR-LCT2     |    0.25 |INTERFASEQNX|APAPHC  |          |09.04.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |155002419|16.09.2025|ROTURA CADENA MESA 90 1 Y FALLA EN LA BA|56934    |SA-APR-LCT2     |    5.77 |INTERFASEQNX|C.MMATE |          |17.09.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154677174|07.05.2025|FALLA EN MESA ESTENCIBLE                |56937    |SA-APR-LCT2     |    0.10 |INTERFASEQNX|YAPRRU  |          |08.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154887067|31.07.2025|MOTOREDUCTOR DEL RODILLO PISON TRABADO  |56946    |SA-APR-LCT2     |    0.00 |INTERFASEQNX|C.MCOLQ |2003080932|01.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154731573|29.05.2025|CAJON DE RECHAZO SE VA A EMERGENCIA     |56951    |SA-APR-LCT2     |    0.08 |INTERFASEQNX|C.MCOLQ |          |30.05.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929968|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.08 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929969|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929967|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154929970|18.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |19.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930101|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930102|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930103|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930104|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930105|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930106|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.05 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
|X  M2 |154930151|19.08.2025|SE PROCESA POR APILADOR 1               |57036    |SA-APR-LCT2     |    0.03 |INTERFASEQNX|APARFG  |          |20.08.2025|DEMORA ELÉCTRICA-ELÉCTRICAS            |
